motif_name	a_hot_motif	b_hot_not	c_idr_nonhot_motif	d_idr_nonhot_not	OR	logOR	SE	CI_low	CI_high	p_value	q_value
LIG_RPA_C_Insects	0	20617	79	1245882	0.3800528189019372	-0.9674450388105476	1.418671181592783	0.0235638727686531	6.129728613517906	0.6424918189294264	0.862355939475618
LIG_RPA_C_Plants	0	20617	42	1245919	0.710943444675069	-0.3411623956969699	1.4225254714311908	0.0437478714601238	11.553489682056	1.0	1.0
LIG_RPA_C_Vert	0	20617	8	1245953	3.55481422834685	1.2683028054472711	1.4552306909584654	0.2051632349124225	61.59341464591064	1.0	1.0
LIG_RRM_PRI_1	0	20617	847	1245114	0.0356289960450443	-3.334595476998416	1.4146480999272188	0.0022265415921805	0.5701332342660613	1.8361839583029112e-06	6.969601476139008e-06
LIG_Rrp6Rrp47_Mtr4_1	0	20617	2	1245959	12.086426579362191	2.4920830526468167	1.549209251547401	0.5802088927406024	251.7743338408681	1.0	1.0
LIG_RuBisCO_WRxxL_1	0	20617	506	1245455	0.0596324655913047	-2.819555128533147	1.414928845937927	0.0037245260633096	0.95476065734341	0.0005639124164798	0.0015080385077074
LIG_SH2_CRK	316	20301	19105	1226856	0.999576875740596	-0.0004232138017326	0.0571574407193213	0.8936404216730521	1.1180715490070816	1.0	1.0
LIG_SH2_GRB2like	110	20507	3701	1242260	1.800462042952837	0.5880433224920957	0.0970086344409593	1.4887046791208824	2.177506132397049	2.6550574799236146e-08	1.1429698663573609e-07
LIG_SH2_NCK_1	170	20447	5091	1240870	2.026480888346593	0.7063007361740489	0.0782846780750829	1.738222026828392	2.3625432927731667	4.1913755440276543e-16	2.6901010309850217e-15
LIG_SH2_PTP2	92	20525	3659	1242302	1.5218415473301112	0.4199211458267662	0.1057940922830743	1.236846165783207	1.872505861481608	0.0001690339288207	0.0005099912553311
LIG_SH2_SFK_2	716	19901	36407	1209554	1.195304324732197	0.1784008180096986	0.0384082123020527	1.1086252363402456	1.2887605133724365	5.630857570258748e-06	2.007770426567008e-05
LIG_SH2_SFK_CTail_3	0	20617	12	1245949	2.4172659148781377	0.88263711423745	1.4422376035475224	0.1431090161140691	40.83023321587349	1.0	1.0
LIG_SH2_STAP1	292	20325	14956	1231005	1.1824877697827527	0.1676204986520319	0.0595107819489563	1.0523011799103972	1.3287805358204112	0.0056124418823079	0.0122295801509549
LIG_SH2_STAT3	118	20499	5999	1239962	1.1898133728826668	0.1737964653140403	0.0932247824564141	0.9911155933655164	1.4283458677945993	0.0679536386959835	0.1236476003076401
LIG_SH2_STAT5	742	19875	43376	1202585	1.0350541005778926	0.0344536964409978	0.0377082103244694	0.9613137929422894	1.1144508681645702	0.3580179657155083	0.5332503877534787
LIG_SH2_STAT6	0	20617	42	1245919	0.710943444675069	-0.3411623956969699	1.4225254714311908	0.0437478714601238	11.553489682056	1.0	1.0
LIG_SH3_1	244	20373	6631	1239330	2.238426176421413	0.8057730191161585	0.0655672092780918	1.968479247256102	2.545392212934367	6.33419611326957e-28	6.388489222811881e-27
LIG_SH3_2	198	20419	4573	1241388	2.6323101759447254	0.9678618545228554	0.0729311965194423	2.281690713900017	3.036808109079143	4.240180186119165e-31	5.161322778276087e-30
LIG_SH3_3	1840	18777	70374	1175587	1.6369452533401685	0.4928318545433617	0.0247344969000342	1.559479700983909	1.718258827442446	4.593960971119181e-78	1.2474370944654391e-76
LIG_SH3_4	88	20529	3225	1242736	1.6518250113943558	0.5018807441822248	0.1082738663662308	1.3359784785359294	2.042342681491469	1.7856580149707767e-05	6.119779410530914e-05
LIG_SH3_CIN85_PxpxPR_1	18	20599	662	1245299	1.6437736616141134	0.496994611738652	0.2389884487576849	1.028989499439583	2.6258692164379243	0.0464704251354737	0.0886705949882283
LIG_SH3_PxRPPK_7	0	20617	28	1245933	1.0601907338979193	0.0584488295766869	1.4265822879858885	0.0647221067580649	17.366622450109706	1.0	1.0
LIG_SH3_PxxDY_5	39	20578	400	1245561	5.901554937311692	1.7752158648857137	0.1679000419286161	4.246655715502991	8.201359613627826	2.882115642657014e-17	1.9565131189575495e-16
LIG_SH3_PxxPPRxxK_8	0	20617	13	1245948	2.2382073840543586	0.805675270500252	1.440181717409723	0.1330432659691559	37.65370804409482	1.0	1.0
LIG_SH3_PxxxRxxKP_6	9	20608	6	1245955	90.68965935559008	4.507443341311613	0.5270930707377045	32.27654878314738	254.81703044804132	3.66922355177911e-13	1.9047586967323907e-12
LIG_Sin3_1	0	20617	17	1245944	1.726611581700705	0.5461608646044476	1.434291519263981	0.1038247898908439	28.713639172275503	1.0	1.0
LIG_Sin3_2	0	20617	6	1245955	4.648610683605227	1.5365683972370037	1.4676155691899662	0.2618566353319901	82.52447473913097	1.0	1.0
LIG_Sin3_3	0	20617	773	1245188	0.0390399078734944	-3.243170877237816	1.414687997545483	0.0024395068947232	0.6247633118265177	5.605335604808502e-06	2.007770426567008e-05
